technique_key,romaji,japanese,kana,english,family,capture_profile,focus_joints,level,tier,classifier_label,search_term,aliases,sources,notes
zenkutsu_dachi,zenkutsu-dachi,前屈立ち,ぜんくつだち,front stance,stance,stance,full,,core,karate front stance,karate zenkutsu dachi front stance,forward stance,jkf;wikipedia_shotokan;yale;shotokan_nz,front knee bent over the toes; roughly 70/30 weight on the front leg
kokutsu_dachi,kokutsu-dachi,後屈立ち,こうくつだち,back stance,stance,stance,full,,core,karate back stance,karate kokutsu dachi back stance,koukutsu dachi,jkf;wikipedia_shotokan;yale;shotokan_nz,roughly 70/30 weight on the rear leg; feet on one line at right angles
kiba_dachi,kiba-dachi,騎馬立ち,きばだち,horse stance,stance,stance,full,,core,karate horse stance,karate kiba dachi horse stance,straddle stance;saddle stance,jkf;wikipedia_shotokan;yale;shotokan_nz,feet parallel about two shoulder widths apart; hips dropped and knees pushed out
neko_ashi_dachi,neko-ashi-dachi,猫足立ち,ねこあしだち,cat stance,stance,stance,full,,core,karate cat stance,karate neko ashi dachi cat stance,neko dachi,jkf;wikipedia_shotokan;yale;shotokan_nz,about 90 percent of the weight on the rear leg; front heel raised
heiko_dachi,heiko-dachi,平行立ち,へいこうだち,parallel stance,stance,stance,full,,core,karate parallel ready stance,karate heiko dachi parallel stance,,jkf;shotokan_nz,feet parallel about 30 cm apart; the neutral baseline stance for kihon
moto_dachi,moto-dachi,基立ち,もとだち,natural fighting stance,stance,stance,full,,core,karate fighting stance,karate moto dachi kumite fighting stance,kumite no kamae,jkf,the mobile sparring stance used in kumite; shorter and higher than zenkutsu dachi
hachiji_dachi,hachiji-dachi,八字立ち,はちじだち,natural open-leg stance,stance,stance,full,,extended,karate natural open leg stance,karate hachiji dachi natural stance,hachinoji dachi,jkf;yale,heiko dachi with the toes turned slightly outward
musubi_dachi,musubi-dachi,結び立ち,むすびだち,informal attention stance,stance,stance,full,,extended,karate attention stance,karate musubi dachi attention stance,,jkf,heels together with the toes opened about 60 degrees; used for the formal bow
shiko_dachi,shiko-dachi,四股立ち,しこだち,square stance,stance,stance,full,,extended,karate sumo square stance,karate shiko dachi square stance,sumo stance,jkf;shotokan_nz,about 65 cm wide with the toes turned out and the knees deeply bent
sanchin_dachi,sanchin-dachi,三戦立ち,さんちんだち,hourglass stance,stance,stance,full,,extended,karate hourglass stance,karate sanchin dachi hourglass stance,,jkf;wikipedia_shotokan;yale,rear toes and front heel on one lateral line; knees and toes drawn inward
hangetsu_dachi,hangetsu-dachi,半月立ち,はんげつだち,half-moon stance,stance,stance,full,,extended,karate half moon stance,karate hangetsu dachi half moon stance,,wikipedia_shotokan;yale;shotokan_nz,a shortened zenkutsu dachi with the knees squeezed inward along a crescent path
fudo_dachi,fudo-dachi,不動立ち,ふどうだち,rooted stance,stance,stance,full,,extended,karate rooted immovable stance,karate fudo dachi sochin dachi rooted stance,sochin dachi,jkf;yale,zenkutsu dachi width with the weight centred evenly over both legs
kosa_dachi,kosa-dachi,交差立ち,こうさだち,crossed-leg stance,stance,stance,full,,extended,karate crossed leg stance,karate kosa dachi crossed leg stance,,jkf,rear knee tucked into the back of the front knee; a transitional kata stance
sagiashi_dachi,sagiashi-dachi,鷺足立ち,さぎあしだち,heron-leg stance,stance,stance,full,,extended,karate one leg heron stance,karate sagiashi dachi heron leg stance,,jkf,one-legged stance with the free thigh lifted to horizontal
gankaku_dachi,gankaku-dachi,岩鶴立ち,がんかくだち,crane stance,stance,stance,full,,extended,karate crane stance,karate gankaku dachi crane stance,,wikipedia_shotokan,one-legged stance with the free foot hooked behind the supporting knee
choku_zuki,choku-zuki,直突き,ちょくづき,straight punch,punch,punch,upper,chudan,core,karate straight punch,karate choku zuki straight punch,,wikipedia_shotokan;shotokan_nz,punched from heiko dachi with full hikite; the reference basic punch
oi_zuki,oi-zuki,追い突き,おいづき,lunge punch,punch,punch,upper,jodan,core,karate lunge stepping punch,karate oi zuki lunge punch,jun zuki;stepping punch,jkf;wikipedia_shotokan;yale;shotokan_nz,punching hand and front foot are on the same side; lands as the step finishes
gyaku_zuki,gyaku-zuki,逆突き,ぎゃくづき,reverse punch,punch,punch,upper,chudan,core,karate reverse punch,karate gyaku zuki reverse punch,,jkf;wikipedia_shotokan;yale;shotokan_nz,punching hand is opposite the front leg; driven by hip rotation
kizami_zuki,kizami-zuki,刻突き,きざみづき,jab punch,punch,punch,upper,jodan,core,karate jab punch,karate kizami zuki jab punch,,jkf;yale,lead-hand punch thrown while stepping in on the front foot
kagi_zuki,kagi-zuki,鉤突き,かぎづき,hook punch,punch,punch,upper,chudan,core,karate hook punch,karate kagi zuki hook punch,,jkf,short arcing punch across the body; the elbow stays bent about 90 degrees
age_zuki,age-zuki,揚げ突き,あげづき,rising punch,punch,punch,upper,jodan,extended,karate rising punch,karate age zuki rising punch,,wikipedia_shotokan,rises on an arc to the chin from close range
ura_zuki,ura-zuki,裏突き,うらづき,close punch,punch,punch,upper,chudan,extended,karate short uppercut punch,karate ura zuki close punch,,wikipedia_shotokan,palm-up punch delivered at close range without full extension
mawashi_zuki,mawashi-zuki,回し突き,まわしづき,roundhouse punch,punch,punch,upper,jodan,extended,karate roundhouse punch,karate mawashi zuki roundhouse punch,,shotokan_nz,wide horizontal arc into the side of the head
morote_zuki,morote-zuki,諸手突き,もろてづき,double-fist punch,punch,punch,upper,chudan,extended,karate double fist punch,karate morote zuki double punch,,wikipedia_shotokan,both fists punch to the same target together
nukite,nukite,貫手,ぬきて,spear-hand thrust,punch,punch,upper,chudan,extended,karate spear hand thrust,karate nukite spear hand strike,nukite zuki,jkf;yale,fingers held straight and braced; thrust with the fingertips
uraken_uchi,uraken-uchi,裏拳打ち,うらけんうち,back-fist strike,strike,punch,upper,jodan,core,karate back fist strike,karate uraken uchi back fist strike,uraken,jkf;wikipedia_shotokan;yale;shotokan_nz,snapped out and recovered from the elbow with the back of the fist
tettsui_uchi,tettsui-uchi,鉄槌打ち,てっついうち,hammer-fist strike,strike,punch,upper,jodan,core,karate hammer fist strike,karate tettsui uchi hammer fist strike,tettsui,jkf;wikipedia_shotokan,struck with the little-finger edge of the closed fist
shuto_uchi,shuto-uchi,手刀打ち,しゅとううち,knife-hand strike,strike,punch,upper,jodan,core,karate knife hand strike,karate shuto uchi knife hand strike,,jkf;wikipedia_shotokan;shotokan_nz,struck with the outer edge of the open hand on a horizontal arc
empi_uchi,empi-uchi,猿臂打ち,えんぴうち,elbow strike,strike,punch,upper,jodan,core,karate elbow strike,karate empi uchi elbow strike,enpi uchi;hiji ate,jkf;wikipedia_shotokan;yale;shotokan_nz,close-range strike with the point of the elbow; mae/yoko/age/ushiro/otoshi variants
haito_uchi,haito-uchi,背刀打ち,はいとううち,ridge-hand strike,strike,punch,upper,jodan,extended,karate ridge hand strike,karate haito uchi ridge hand strike,,jkf,struck with the thumb-side edge of the open hand
